"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","108","","","","","","Component: ProfitCell, Story: Second (variant: CI)",""
"passed","Sun Jun 09 15:51:49 GMT 2024","Sun Jun 09 15:51:49 GMT 2024","150","","","","","","Hello world",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","112","","","","","","Component: FrostBenefit, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","103","","","","","","Component: FrostBenefit, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","106","","","","","","Component: ProfitCell, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","120","","","","","","Component: ProfitCell, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","100","","","","","","Component: ProfitCell, Story: Second (variant: Linux)",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","101","","","","","","Component: RatingBenefit, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:49 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","511","","","","","","Component: RatingReceivedCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","111","","","","","","Component: DiagramCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","118","","","","","","Component: FrostReceivedCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","137","","","","","","Component: DiagramCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:51 GMT 2024","Sun Jun 09 15:51:51 GMT 2024","110","","","","","","Component: RatingBenefit, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","136","","","","","","Component: RatingReceivedCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:50 GMT 2024","Sun Jun 09 15:51:50 GMT 2024","109","","","","","","Component: FrostReceivedCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:51:42 GMT 2024","Sun Jun 09 15:51:49 GMT 2024","6882","","","","","","loading /home/runner/work/dart_test_reporter/dart_test_reporter/apps/sandbox/test/golden_test.dart",""
